municipio_distrito;casos_confirmados_P60mas_ultimos_14dias;tasa_incidencia_acumulada_P60mas_ultimos_14dias;codigo_geometria
Lozoyuela-Navas-Sieteiglesias;;0;9015
Quijorna;;168,63;1198
Valdemoro;47;428,05;1610
Tres Cantos;8;79,57;9036
Torrelaguna;;184,5;1512
Rivas-Vaciamadrid;13;94,67;1230
El Atazar;;0;164
Pedrezuela;;317,12;1087
Santa María de la Alameda;;512,82;1356
Horcajuelo de la Sierra;;0;719
Arroyomolinos;;62,23;151
Moralzarzal;;0;908
Canencia;;0;344
Villarejo de Salvanés;;0;1809
Serranillos del Valle;;132,8;1408
Villaviciosa de Odón;;54,25;1816
Camarma de Esteruelas;;242,91;323
Robledo de Chavela;6;511,51;1258
Patones;6;3208,56;1071
Navalagamella;;959,69;954
Rascafría;6;1011,8;1202
El Boalo;;71,68;231
Majadahonda;16;98,15;800
Batres;;0;170
Alcobendas;54;209,66;66
Alcalá de Henares;104;214,91;53
Colmenar Viejo;11;109,58;455
San Fernando de Henares;14;157,3;1300
Villalbilla;;223,81;1723
El Escorial;;71,06;549
Colmenar del Arroyo;;0;421
Torrejón de Ardoz;17;62,64;1489
Piñuécar-Gandullas;;0;1147
Brea de Tajo;;0;259
El Molar;;253,97;869
Belmonte de Tajo;;0;199
Torres de la Alameda;;64,18;1548
Somosierra;;0;1436
Alpedrete;;103,81;105
Orusco de Tajuña;;0;1028
La Hiruela;;0;698
Cervera de Buitrago;;0;395
Getafe;56;124,87;650
Ribatejada;;0;1224
Villaconejos;;0;1701
Valdetorres de Jarama;;95,69;1646
Pozuelo de Alarcón;37;177,24;1150
Madrid-Retiro;33;84,39;79603
Madrid-Salamanca;33;74,68;79604
Madrid-Centro;16;53,4;79601
Madrid-Arganzuela;34;82,56;79602
Madrid-Chamartín;30;69,21;79605
Madrid-Tetuán;22;55,24;79606
Madrid-Chamberí;34;80,42;79607
Madrid-Fuencarral-El Pardo;48;72,91;79608
Madrid-Moncloa-Aravaca;20;58,72;79609
Madrid-Latina;88;121,9;79610
Madrid-Carabanchel;63;101,31;79611
Madrid-Usera;23;73,53;79612
Madrid-Puente de Vallecas;61;106,64;79613
Madrid-San Blas - Canillejas;35;92,38;79620
Madrid-Barajas;10;86,48;79621
Madrid-Moratalaz;35;113,32;79614
Madrid-Ciudad Lineal;49;77,35;79615
Madrid-Hortaleza;43;92,2;79616
Madrid-Villaverde;29;85,17;79617
Madrid-Villa de Vallecas;22;109,55;79618
Madrid-Vicálvaro;16;110,63;79619
Alcorcón;46;98,95;72
Navalcarnero;9;178,89;967
San Agustín del Guadalix;;96,81;1296
Las Rozas de Madrid;;26,68;1277
Moraleja de Enmedio;;0;894
Valdaracete;;546,45;1551
Pozuelo del Rey;;0;1163
