municipio_distrito;fecha_informe;casos_confirmados_P60mas_ultimos_14dias;tasa_incidencia_acumulada_P60mas_ultimos_14dias;codigo_geometria
Moralzarzal;2023/05/02 11:38:00;8;318,09;908
Canencia;2023/05/02 11:38:00;;595,24;344
Villarejo de Salvanés;2023/05/02 11:38:00;;172,81;1809
Serranillos del Valle;2023/05/02 11:38:00;;132,8;1408
Villaviciosa de Odón;2023/05/02 11:38:00;;54,25;1816
Camarma de Esteruelas;2023/05/02 11:38:00;;161,94;323
Robledo de Chavela;2023/05/02 11:38:00;;255,75;1258
Patones;2023/05/02 11:38:00;;0;1071
Navalagamella;2023/05/02 11:38:00;;0;954
Rascafría;2023/05/02 11:38:00;;168,63;1202
El Boalo;2023/05/02 11:38:00;;215,05;231
Majadahonda;2023/05/02 11:38:00;11;67,48;800
Batres;2023/05/02 11:38:00;;0;170
Alcobendas;2023/05/02 11:38:00;42;163,07;66
Alcalá de Henares;2023/05/02 11:38:00;144;297,56;53
Colmenar Viejo;2023/05/02 11:38:00;10;99,62;455
San Fernando de Henares;2023/05/02 11:38:00;13;146,07;1300
Villalbilla;2023/05/02 11:38:00;;89,53;1723
El Escorial;2023/05/02 11:38:00;6;142,11;549
Colmenar del Arroyo;2023/05/02 11:38:00;;0;421
Torrejón de Ardoz;2023/05/02 11:38:00;42;154,75;1489
Piñuécar-Gandullas;2023/05/02 11:38:00;;0;1147
Brea de Tajo;2023/05/02 11:38:00;;0;259
El Molar;2023/05/02 11:38:00;;0;869
Belmonte de Tajo;2023/05/02 11:38:00;;236,97;199
Torres de la Alameda;2023/05/02 11:38:00;;128,37;1548
Somosierra;2023/05/02 11:38:00;;0;1436
Alpedrete;2023/05/02 11:38:00;6;207,61;105
Orusco de Tajuña;2023/05/02 11:38:00;;869,57;1028
La Hiruela;2023/05/02 11:38:00;;0;698
Cervera de Buitrago;2023/05/02 11:38:00;;0;395
Getafe;2023/05/02 11:38:00;65;144,94;650
Ribatejada;2023/05/02 11:38:00;;0;1224
Villaconejos;2023/05/02 11:38:00;;0;1701
Valdetorres de Jarama;2023/05/02 11:38:00;14;1339,71;1646
Pozuelo de Alarcón;2023/05/02 11:38:00;21;100,59;1150
Madrid-Retiro;2023/04/25 11:37:00;42;107,4;79603
Madrid-Salamanca;2023/04/25 11:37:00;34;76,94;79604
Madrid-Centro;2023/04/25 11:37:00;27;90,12;79601
Madrid-Arganzuela;2023/04/25 11:37:00;71;172,4;79602
Madrid-Chamartín;2023/04/25 11:37:00;38;87,67;79605
Madrid-Tetuán;2023/04/25 11:37:00;33;82,85;79606
Madrid-Chamberí;2023/04/25 11:37:00;33;78,05;79607
Madrid-Fuencarral-El Pardo;2023/04/25 11:37:00;99;150,38;79608
Madrid-Moncloa-Aravaca;2023/04/25 11:37:00;34;99,83;79609
Madrid-Latina;2023/04/25 11:37:00;133;184,24;79610
Madrid-Carabanchel;2023/04/25 11:37:00;92;147,95;79611
Madrid-Usera;2023/04/25 11:37:00;32;102,31;79612
Madrid-Puente de Vallecas;2023/04/25 11:37:00;102;178,32;79613
Madrid-San Blas - Canillejas;2023/04/25 11:37:00;45;118,77;79620
Madrid-Barajas;2023/04/25 11:37:00;19;164,32;79621
Madrid-Moratalaz;2023/04/25 11:37:00;35;113,32;79614
Madrid-Ciudad Lineal;2023/04/25 11:37:00;76;119,97;79615
Madrid-Hortaleza;2023/04/25 11:37:00;81;173,68;79616
Madrid-Villaverde;2023/04/25 11:37:00;38;111,6;79617
Madrid-Villa de Vallecas;2023/04/25 11:37:00;25;124,49;79618
Madrid-Vicálvaro;2023/04/25 11:37:00;23;159,03;79619
Alcorcón;2023/04/25 11:37:00;64;137,67;72
Navalcarnero;2023/04/25 11:37:00;;79,51;967
San Agustín del Guadalix;2023/04/25 11:37:00;;48,4;1296
Las Rozas de Madrid;2023/04/25 11:37:00;23;122,74;1277
Moraleja de Enmedio;2023/04/25 11:37:00;;0;894
Valdaracete;2023/04/25 11:37:00;;0;1551
Pozuelo del Rey;2023/04/25 11:37:00;;0;1163
Puebla de la Sierra;2023/04/25 11:37:00;;0;1185
Perales de Tajuña;2023/04/25 11:37:00;;0;1104
Valdemorillo;2023/04/25 11:37:00;;153,08;1603
Navalafuente;2023/04/25 11:37:00;;0;941
Velilla de San Antonio;2023/04/25 11:37:00;;53,45;1678
Villanueva de la Cañada;2023/04/25 11:37:00;;104,74;1760
Villanueva del Pardillo;2023/04/25 11:37:00;;139,02;1776
Nuevo Baztán;2023/04/25 11:37:00;;72,89;1006
Villamantilla;2023/04/25 11:37:00;;0;1757
